work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2023,Senior,Full-time,Data Scientist,155000,USD,155000.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Analyst,207611,USD,207611.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,127876,USD,127876.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Entry-level,Full-time,Data Analyst,111000,USD,111000.0,UNITED STATES,In-person,United States,M,Data Analysis
2023,Entry-level,Full-time,Data Analyst,104000,USD,104000.0,UNITED STATES,In-person,United States,M,Data Analysis
2023,Mid-level,Full-time,BI Developer,128000,USD,128000.0,UNITED STATES,In-person,United States,M,BI and Visualization
2023,Mid-level,Full-time,BI Developer,81500,USD,81500.0,UNITED STATES,In-person,United States,M,BI and Visualization
2023,Mid-level,Full-time,Data Analyst,97750,USD,97750.0,UNITED STATES,In-person,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Analyst,75000,USD,75000.0,UNITED STATES,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Machine Learning Engineer,238000,USD,238000.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,176000,USD,176000.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,195000,USD,195000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,125000,USD,125000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Decision Scientist,204500,USD,204500.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Decision Scientist,142200,USD,142200.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Entry-level,Full-time,Data Analyst,132600,USD,132600.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Entry-level,Full-time,Data Analyst,81500,USD,81500.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Engineer,202400,USD,202400.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,147200,USD,147200.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Analyst,175000,USD,175000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,135000,USD,135000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Machine Learning Engineer,238000,USD,238000.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,176000,USD,176000.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,239000,USD,239000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,136000,USD,136000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Analyst,54000,USD,54000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Analyst,36000,USD,36000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Scientist,176000,USD,176000.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,118720,USD,118720.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,204500,USD,204500.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,138900,USD,138900.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,140000,USD,140000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,95000,USD,95000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Research Engineer,240000,USD,240000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Research Engineer,157000,USD,157000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,165000,USD,165000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,136000,USD,136000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Applied Scientist,230000,USD,230000.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Applied Scientist,196000,USD,196000.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,272300,USD,272300.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,222800,USD,222800.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,167500,USD,167500.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,106500,USD,106500.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Manager,172750,USD,172750.0,UNITED STATES,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Data Manager,82500,USD,82500.0,UNITED STATES,Remote,United States,M,Leadership and Management
2023,Mid-level,Full-time,Business Intelligence Engineer,165600,USD,165600.0,UNITED STATES,In-person,United States,L,BI and Visualization
2023,Mid-level,Full-time,Business Intelligence Engineer,65800,USD,65800.0,UNITED STATES,In-person,United States,L,BI and Visualization
2023,Senior,Full-time,Applied Scientist,192000,USD,192000.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Applied Scientist,164000,USD,164000.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Data Manager,145000,USD,145000.0,UNITED STATES,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Data Manager,130000,USD,130000.0,UNITED STATES,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Machine Learning Engineer,226600,USD,226600.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,140100,USD,140100.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,185900,USD,185900.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,129300,USD,129300.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,331640,USD,331640.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,267720,USD,267720.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Analytics Engineer,207611,USD,207611.0,UNITED STATES,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Analytics Engineer,127876,USD,127876.0,UNITED STATES,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Research Engineer,225000,USD,225000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Research Engineer,168000,USD,168000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,280600,USD,280600.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,158600,USD,158600.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Machine Learning Engineer,200000,USD,200000.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,140000,USD,140000.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,283780,USD,283780.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,218540,USD,218540.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,178500,USD,178500.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,100000,USD,100000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Scientist,323300,USD,323300.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,184700,USD,184700.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Research Scientist,248100,USD,248100.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Research Scientist,145900,USD,145900.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Research Scientist,185000,USD,185000.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Mid-level,Full-time,Research Scientist,137700,USD,137700.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Research Scientist,205500,USD,205500.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Research Scientist,132500,USD,132500.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Operations Analyst,65100,USD,65100.0,UNITED STATES,Remote,United States,M,Data Quality and Operations
2023,Mid-level,Full-time,Data Operations Analyst,44640,USD,44640.0,UNITED STATES,Remote,United States,M,Data Quality and Operations
2023,Senior,Full-time,Data Engineer,181500,USD,181500.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,112200,USD,112200.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Machine Learning Engineer,192000,USD,192000.0,UNITED STATES,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,164000,USD,164000.0,UNITED STATES,Remote,United States,M,Machine Learning and AI
2023,Mid-level,Full-time,Data Analyst,161000,USD,161000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Analyst,123000,USD,123000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,247300,USD,247300.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,139700,USD,139700.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Analyst,145000,USD,145000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,106000,USD,106000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Machine Learning Engineer,204600,USD,204600.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,126500,USD,126500.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,278700,USD,278700.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,159300,USD,159300.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Scientist,180000,USD,180000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Scientist,140000,USD,140000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,238000,USD,238000.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,176000,USD,176000.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Operations Engineer,125000,USD,125000.0,UNITED STATES,In-person,United States,M,Data Quality and Operations
2023,Senior,Full-time,Data Operations Engineer,65000,USD,65000.0,UNITED STATES,In-person,United States,M,Data Quality and Operations
2023,Mid-level,Full-time,Data Scientist,230000,USD,230000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Scientist,175000,USD,175000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,130000,USD,130000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,100000,USD,100000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Applied Scientist,252990,USD,252990.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Applied Scientist,162170,USD,162170.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,253000,USD,253000.0,UNITED STATES,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,172040,USD,172040.0,UNITED STATES,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,310270,USD,310270.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,239080,USD,239080.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Analyst,85000,USD,85000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,70000,USD,70000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Engineer,135000,USD,135000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,125000,USD,125000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Applied Scientist,253000,USD,253000.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Senior,Full-time,Applied Scientist,172040,USD,172040.0,UNITED STATES,Remote,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Engineer,135000,USD,135000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Engineer,108000,USD,108000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,225500,USD,225500.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,139400,USD,139400.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,AI Engineer,227850,USD,227850.0,UNITED STATES,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,AI Engineer,180500,USD,180500.0,UNITED STATES,Remote,United States,M,Machine Learning and AI
2023,Mid-level,Full-time,Data Analyst,90000,USD,90000.0,UNITED STATES,In-person,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Analyst,70000,USD,70000.0,UNITED STATES,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,199000,USD,199000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,159000,USD,159000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Data Lead,350000,USD,350000.0,UNITED STATES,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Data Lead,80000,USD,80000.0,UNITED STATES,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Data Engineer,145000,USD,145000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,115000,USD,115000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Mid-level,Full-time,Data Analyst,107500,USD,107500.0,UNITED STATES,In-person,United States,M,Data Analysis
2023,Mid-level,Full-time,Data Analyst,96750,USD,96750.0,UNITED STATES,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Machine Learning Engineer,174000,USD,174000.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,104000,USD,104000.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,ML Engineer,275300,USD,275300.0,UNITED STATES,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,ML Engineer,183500,USD,183500.0,UNITED STATES,Remote,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Scientist,250000,USD,250000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,225000,USD,225000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Engineer,174350,USD,174350.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,126800,USD,126800.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Machine Learning Engineer,284050,USD,284050.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,193800,USD,193800.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,300000,USD,300000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,200000,USD,200000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,232989,USD,232989.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,140000,USD,140000.0,UNITED STATES,Remote,United States,M,Data Engineering
2023,Senior,Full-time,Machine Learning Engineer,204500,USD,204500.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,142200,USD,142200.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Engineer,147100,USD,147100.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,90700,USD,90700.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Analyst,140000,USD,140000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,95000,USD,95000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,204500,USD,204500.0,UNITED STATES,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,138900,USD,138900.0,UNITED STATES,In-person,United States,M,Data Analysis
2023,Senior,Full-time,Data Modeler,168400,USD,168400.0,UNITED STATES,In-person,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Data Modeler,105200,USD,105200.0,UNITED STATES,In-person,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Research Scientist,205500,USD,205500.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Research Scientist,132500,USD,132500.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,147100,USD,147100.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,90700,USD,90700.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,247500,USD,247500.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,172200,USD,172200.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Analyst,192000,USD,192000.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Analyst,138240,USD,138240.0,UNITED STATES,Remote,United States,M,Data Analysis
2023,Senior,Full-time,Data Engineer,168400,USD,168400.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,105200,USD,105200.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Analytics Engineer,150550,USD,150550.0,UNITED STATES,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Analytics Engineer,116710,USD,116710.0,UNITED STATES,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Data Scientist,180000,USD,180000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Scientist,162000,USD,162000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Machine Learning Engineer,226600,USD,226600.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Machine Learning Engineer,140100,USD,140100.0,UNITED STATES,In-person,United States,M,Machine Learning and AI
2023,Senior,Full-time,Data Visualization Engineer,147100,USD,147100.0,UNITED STATES,In-person,United States,M,BI and Visualization
2023,Senior,Full-time,Data Visualization Engineer,90700,USD,90700.0,UNITED STATES,In-person,United States,M,BI and Visualization
2023,Senior,Full-time,Research Scientist,175000,USD,175000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Research Scientist,120000,USD,120000.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Data Architect,147100,USD,147100.0,UNITED STATES,In-person,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Data Architect,90700,USD,90700.0,UNITED STATES,In-person,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Data Modeler,168400,USD,168400.0,UNITED STATES,In-person,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Data Modeler,105200,USD,105200.0,UNITED STATES,In-person,United States,M,Data Architecture and Modeling
2023,Senior,Full-time,Analytics Engineer,125000,USD,125000.0,UNITED STATES,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Analytics Engineer,100000,USD,100000.0,UNITED STATES,Remote,United States,M,Leadership and Management
2023,Senior,Full-time,Research Scientist,198800,USD,198800.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Senior,Full-time,Research Scientist,105200,USD,105200.0,UNITED STATES,In-person,United States,M,Data Science and Research
2023,Mid-level,Full-time,Data Manager,115500,USD,115500.0,UNITED STATES,In-person,United States,M,Leadership and Management
2023,Mid-level,Full-time,Data Manager,73500,USD,73500.0,UNITED STATES,In-person,United States,M,Leadership and Management
2023,Senior,Full-time,Data Engineer,183000,USD,183000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Senior,Full-time,Data Engineer,140000,USD,140000.0,UNITED STATES,In-person,United States,M,Data Engineering
2023,Executive,Full-time,Business Intelligence Developer,167500,USD,167500.0,UNITED STATES,In-person,United States,M,BI and Visualization
2023,Executive,Full-time,Business Intelligence Developer,106500,USD,106500.0,UNITED STATES,In-person,United States,M,BI and Visualization
2023,Senior,Full-time,Analytics Engineer,175000,USD,175000.0,UNITED STATES,Remote,United States,M,Leadership and Management
